ICD-10 (1-3-digit codes) main diagnosis,Diagnosis of hospital in-patients (main diagnosis),Year,Patient's place of residence,Gender,under 1 year,1 to under 5 years,5 to under 10 years,10 to under 15 years,15 to under 18 years,18 to under 20 years,20 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years, 40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 to under 90 years
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Berlin,Both,3.7,3.2,4.4,4.3,3.9,5,6.3,6.5,7.4,7.3,8.2,9.3,10.3,9.6,10,10.9,10.6,10.8,10.3,10.4
ICD10-C00-C97,Malignant neoplasms,2021,Berlin,Both,7.8,10.1,7.1,7.3,6.1,7.7,8.1,6.6,6.5,6.1,6.6,7.3,6.7,7.2,7.3,7.6,7.8,8,8.6,8.8
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Berlin,Both,5.4,5.6,10.1,10.4,5,4.1,5.6,5.4,4.7,4.3,4.1,4.4,5,5.8,5.9,6.5,5.7,6.6,6.5,7
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Berlin,Both,5.2,5.5,6.2,6.3,5.4,4.3,4.1,4.5,4.4,4.2,5.1,5.9,6.3,7.7,8.6,9.9,10.1,9.5,10.2,10.3
ICD10-G00-G99,Diseases of the nervous system,2021,Berlin,Both,11.2,4.7,4.3,4.6,5.2,5.7,5.2,6.9,5.9,6,6.6,6.7,7.3,9.8,9.6,11.2,10.9,12.1,11.6,10.8
ICD10-I00-I99,Diseases of the circulatory system,2021,Berlin,Both,8.2,3.8,4.4,4.6,6.2,4.9,4.3,5.4,6.2,5.7,6.1,6.1,5.9,6.1,6.5,7.1,7.1,7.7,8.5,9.4
ICD10-J00-J99,Diseases of the respiratory system,2021,Berlin,Both,4.3,3.2,3.6,3.5,4.1,4.3,3.5,4,4.6,5.4,6.2,7.7,9.5,9.9,10.6,11.3,11.4,11.7,10.8,10.6
ICD10-K00-K93,Diseases of the digestive system,2021,Berlin,Both,3.3,3.3,2.7,3.6,3.4,3.3,3.2,3.4,3.7,4,3.9,4.6,4.8,5.3,5.7,6,6.3,6.6,7.1,7.5
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Berlin,Both,6.6,5.7,4.3,4.1,3.6,3.4,4,4.5,4.2,4.8,4.6,5.2,5.7,6,6.2,7.4,7.9,8.8,10.5,12.3
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Brandenburg,Male,2.9,3,3.2,3.2,3.5,4,4.5,5.1,7.4,7.7,7.8,7.6,9,8.5,9.4,10.2,10.2,10.4,10,10.5
